EventName	EventType	EventTypeId	Country	City	ContinentCode	Subcontinent	StartDateTime	EndDateTime	EventId	Event_Tier_Name
WTT Champions Incheon 2024 Presented by Shinhan Bank	WTT Champions	65	Korea Republic	Incheon	asia	east asia	2024-03-27T00:00:00	2024-03-31T00:00:00	2899	WTT Series
WTT Star Contender Bangkok 2024	WTT Star Contender	35	Thailand	Bangkok	asia	south east asia	2024-07-02T00:00:00	2024-07-07T00:00:00	2900	WTT Series
Singapore Smash 2024	WTT Grand Smash	64	Singapore	Singapore	asia	south east asia	2024-03-07T00:00:00	2024-03-17T00:00:00	2904	WTT Series
WTT Feeder Cappadocia 2024	WTT Feeder	81	Türkiye	Cappadocia - Nevsehir	europe	southern europe	2024-05-13T00:00:00	2024-05-17T00:00:00	2911	WTT Feeder Series
WTT Feeder Caracas 2024	WTT Feeder	81	Venezuela	Caracas	americas	south america	2024-10-30T00:00:00	2024-11-03T00:00:00	2912	WTT Feeder Series
ITTF-Oceania Senior Championships 2024	Continental Championships	79	New Zealand	Auckland, 1023	oceania	australasia	2024-10-15T00:00:00	2024-10-18T00:00:00	2917	
2024 Caribbean Championships	WTTC Finals Regional Qualifications	83	Dominican Republic	Santo Domingo 	americas	caribbean	2024-04-16T00:00:00	2024-04-21T00:00:00	2930	
Saudi Smash 2024	WTT Grand Smash	64	Saudi Arabia	Jeddah	asia	west asia	2024-05-01T00:00:00	2024-05-11T00:00:00	2932	WTT Series
WTT Contender Mendoza 2024	WTT Contender	34	Argentina	Mendoza	americas	south america	2024-05-27T00:00:00	2024-06-02T00:00:00	2934	WTT Series
ITTF Americas Olympic Qualification event	ITTF International Open	80	Peru	Lima	americas	south america	2024-05-14T00:00:00	2024-05-18T00:00:00	2935	
2024 Central American Championships	WTTC Finals Regional Qualifications	83	El Salvador	San Salvador	americas	central america	2024-04-22T00:00:00	2024-04-27T00:00:00	2938	
WTT Champions Montpellier 2024	WTT Champions	65	France	Montpellier	europe	western europe	2024-10-22T00:00:00	2024-10-27T00:00:00	2940	WTT Series
WTT Champions Chongqing 2024 Presented by Changan	WTT Champions	65	China	Chongqing	asia	east asia	2024-05-30T00:00:00	2024-06-03T00:00:00	2941	WTT Series
China Smash 2024 Presented by Zhonghui Life Insurance	WTT Grand Smash	64	China	Beijing	asia	east asia	2024-09-26T00:00:00	2024-10-06T00:00:00	2942	WTT Series
ITTF Africa Olympic Qualification event	ITTF International Open	80	Rwanda	Kigali	africa	east africa	2024-05-16T00:00:00	2024-05-18T00:00:00	2946	
WTT Finals Fukuoka 2024	WTT Finals	75	Japan	Kitakyushu	asia	east asia	2024-11-20T00:00:00	2024-11-24T00:00:00	2947	WTT Series
2024 South American Championships	WTTC Finals Regional Qualifications	83	Paraguay	Asunción	americas	south america	2024-06-10T00:00:00	2024-06-16T00:00:00	2960	
WTT Feeder Prishtina 2024	WTT Feeder	81	Kosovo	Prishtina	europe	southern europe	2024-10-28T00:00:00	2024-11-01T00:00:00	2964	WTT Feeder Series
WTT Feeder Muscat 2024	WTT Feeder	81	Oman	Muscat	asia	west asia	2024-08-29T00:00:00	2024-09-01T00:00:00	2965	WTT Feeder Series
WTT Champions Macao 2024 Presented by Galaxy Entertainment Group	WTT Champions	65	Macao, China	Macao	asia	east asia	2024-09-09T00:00:00	2024-09-15T00:00:00	2983	WTT Series
27th ITTF-Asian Table Tennis Championships 2024	Continental Championships	79	Kazakhstan		asia	middle asia	2024-10-07T00:00:00	2024-10-13T00:00:00	2994	
2024 ITTF-Africa Senior Championships	Continental Championships	79	Ethiopia	Rades	africa	east africa	2024-10-12T00:00:00	2024-10-19T00:00:00	2995	
2024 ITTF Pan American Championships	Continental Championships	79	El Salvador	San Salvador	americas	central america	2024-10-13T00:00:00	2024-10-20T00:00:00	2996	
WTT Contender Muscat 2024	WTT Contender	34	Oman	Muscat	asia	west asia	2024-10-27T00:00:00	2024-11-02T00:00:00	2997	WTT Series
